#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
-----------------------------------------------
#Certains ne respectent pas la demande de ne pas récupérer trop souvent le fichier pour préserver le serveur (cela ne sert à rien de récupérer toutes les 3 min), le fichier présente désormais les 30 derniers jours seulement
#Si vous souhaitez avoir accès à l'ensemble, contactez moi, je n'ai pas le temps de faire la chasse à ceux qui ne respectent pas une certaine éthique, alors je fais en sorte de préserver mes ressources
-----------------------------------------------
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2022-01-29;Yémen;10942;2007;0;18.34;0.00;81.66
2022-01-29;Kosovo;201955;3012;0;1.49;0.00;98.51
2022-01-29;Samoa;30;0;0;0.00;0.00;100.00
2022-01-29;Vanuatu;7;1;0;14.29;0.00;85.71
2022-01-29;Viet Nam;2233287;37547;0;1.68;0.00;98.32
2022-01-29;Venezuela;481375;5436;0;1.13;0.00;98.87
2022-01-29;St-Vincent / Grenadines;9447;93;0;0.98;0.00;99.02
2022-01-29;Vatican;29;0;0;0.00;0.00;100.00
2022-01-29;Ouzbékistan;220815;1558;0;0.71;0.00;99.29
2022-01-29;Uruguay;653853;6436;0;0.98;0.00;99.02
2022-01-29;États-Unis;74232238;884405;0;1.19;0.00;98.81
2022-01-29;Ouganda;161503;3523;0;2.18;0.00;97.82
2022-01-29;Ukraine;4206731;106690;0;2.54;0.00;97.46
2022-01-29;Tanzanie;32920;778;0;2.36;0.00;97.64
2022-01-29;Taïwan;18681;851;0;4.56;0.00;95.44
2022-01-29;Trinité-et-Tobago;110741;3381;0;3.05;0.00;96.95
2022-01-29;Turquie;11438476;87045;0;0.76;0.00;99.24
2022-01-29;Tonga;1;0;0;0.00;0.00;100.00
2022-01-29;Tunisie;901107;26229;0;2.91;0.00;97.09
2022-01-29;Timor-Leste;19908;122;0;0.61;0.00;99.39
2022-01-29;Tadjikistan;17663;125;0;0.71;0.00;99.29
2022-01-29;Thaïlande;2424090;22145;0;0.91;0.00;99.09
2022-01-29;Togo;36469;267;0;0.73;0.00;99.27
2022-01-29;Tchad;7075;190;0;2.69;0.00;97.31
2022-01-29;Eswatini;68329;1374;0;2.01;0.00;97.99
2022-01-29;Syrie;51284;2984;0;5.82;0.00;94.18
2022-01-29;El Salvador;133262;3884;0;2.91;0.00;97.09
2022-01-29;Sao Tomé-et-Principe;5883;69;0;1.17;0.00;98.83
2022-01-29;Soudan du sud;16779;137;0;0.82;0.00;99.18
2022-01-29;Suriname;73162;1260;0;1.72;0.00;98.28
2022-01-29;Somalie;25388;1335;0;5.26;0.00;94.74
2022-01-29;Sénégal;84856;1941;0;2.29;0.00;97.71
2022-01-29;Saint-Marin;12462;109;0;0.87;0.00;99.13
2022-01-29;Sierra Leone;7615;125;0;1.64;0.00;98.36
2022-01-29;Slovaquie;1546907;17796;0;1.15;0.00;98.85
2022-01-29;Slovénie;688336;5846;0;0.85;0.00;99.15
2022-01-29;Singapour;343832;854;0;0.25;0.00;99.75
2022-01-29;Suède;2070456;15855;0;0.77;0.00;99.23
2022-01-29;Soudan;57106;3422;0;5.99;0.00;94.01
